disease,sex,ageClass,burdenType,value
BreastCancer,M,ageClass1,daly,0
BreastCancer,M,ageClass1,deaths,0
BreastCancer,M,ageClass1,yld,0
BreastCancer,M,ageClass1,yll,0
BreastCancer,M,ageClass2,daly,0
BreastCancer,M,ageClass2,deaths,0
BreastCancer,M,ageClass2,yld,0
BreastCancer,M,ageClass2,yll,0
BreastCancer,M,ageClass3,daly,0
BreastCancer,M,ageClass3,deaths,0
BreastCancer,M,ageClass3,yld,0
BreastCancer,M,ageClass3,yll,0
BreastCancer,M,ageClass4,daly,0
BreastCancer,M,ageClass4,deaths,0
BreastCancer,M,ageClass4,yld,0
BreastCancer,M,ageClass4,yll,0
BreastCancer,M,ageClass5,daly,0
BreastCancer,M,ageClass5,deaths,0
BreastCancer,M,ageClass5,yld,0
BreastCancer,M,ageClass5,yll,0
BreastCancer,M,ageClass6,daly,6.664049856
BreastCancer,M,ageClass6,deaths,0.38184218
BreastCancer,M,ageClass6,yld,0
BreastCancer,M,ageClass6,yll,6.664049856
BreastCancer,M,ageClass7,daly,4.152059854
BreastCancer,M,ageClass7,deaths,0.40185908
BreastCancer,M,ageClass7,yld,0
BreastCancer,M,ageClass7,yll,4.152059854
BreastCancer,M,ageClass8,daly,3.689547266
BreastCancer,M,ageClass8,deaths,0.950228512
BreastCancer,M,ageClass8,yld,0
BreastCancer,M,ageClass8,yll,3.689547266
BreastCancer,F,ageClass1,daly,0
BreastCancer,F,ageClass1,deaths,0
BreastCancer,F,ageClass1,yld,0
BreastCancer,F,ageClass1,yll,0
BreastCancer,F,ageClass2,daly,0
BreastCancer,F,ageClass2,deaths,0
BreastCancer,F,ageClass2,yld,0
BreastCancer,F,ageClass2,yll,0
BreastCancer,F,ageClass3,daly,12.27111326
BreastCancer,F,ageClass3,deaths,0.192415778
BreastCancer,F,ageClass3,yld,1.545934745
BreastCancer,F,ageClass3,yll,10.72517851
BreastCancer,F,ageClass4,daly,362.8056007
BreastCancer,F,ageClass4,deaths,7.101879409
BreastCancer,F,ageClass4,yld,50.28494988
BreastCancer,F,ageClass4,yll,312.5206508
BreastCancer,F,ageClass5,daly,1412.136718
BreastCancer,F,ageClass5,deaths,41.46334589
BreastCancer,F,ageClass5,yld,164.2389403
BreastCancer,F,ageClass5,yll,1247.897778
BreastCancer,F,ageClass6,daly,1268.510041
BreastCancer,F,ageClass6,deaths,51.8745174
BreastCancer,F,ageClass6,yld,216.2196247
BreastCancer,F,ageClass6,yll,1052.290417
BreastCancer,F,ageClass7,daly,627.0861294
BreastCancer,F,ageClass7,deaths,37.65707147
BreastCancer,F,ageClass7,yld,156.6221861
BreastCancer,F,ageClass7,yll,470.4639434
BreastCancer,F,ageClass8,daly,352.9122404
BreastCancer,F,ageClass8,deaths,41.14500563
BreastCancer,F,ageClass8,yld,128.4726518
BreastCancer,F,ageClass8,yll,224.4395886
ColonCancer,M,ageClass1,daly,0
ColonCancer,M,ageClass1,deaths,0
ColonCancer,M,ageClass1,yld,0
ColonCancer,M,ageClass1,yll,0
ColonCancer,M,ageClass2,daly,0
ColonCancer,M,ageClass2,deaths,0
ColonCancer,M,ageClass2,yld,0
ColonCancer,M,ageClass2,yll,0
ColonCancer,M,ageClass3,daly,0.731493916
ColonCancer,M,ageClass3,deaths,0
ColonCancer,M,ageClass3,yld,0.731493916
ColonCancer,M,ageClass3,yll,0
ColonCancer,M,ageClass4,daly,134.9124081
ColonCancer,M,ageClass4,deaths,3.06401831
ColonCancer,M,ageClass4,yld,7.794494707
ColonCancer,M,ageClass4,yll,127.1179134
ColonCancer,M,ageClass5,daly,534.2044465
ColonCancer,M,ageClass5,deaths,18.39428234
ColonCancer,M,ageClass5,yld,28.02063141
ColonCancer,M,ageClass5,yll,506.1838151
ColonCancer,M,ageClass6,daly,358.6835947
ColonCancer,M,ageClass6,deaths,19.15320373
ColonCancer,M,ageClass6,yld,25.01137728
ColonCancer,M,ageClass6,yll,333.6722174
ColonCancer,M,ageClass7,daly,241.640212
ColonCancer,M,ageClass7,deaths,20.76807725
ColonCancer,M,ageClass7,yld,23.40061795
ColonCancer,M,ageClass7,yll,218.2395941
ColonCancer,M,ageClass8,daly,127.7566557
ColonCancer,M,ageClass8,deaths,22.38738374
ColonCancer,M,ageClass8,yld,18.52748207
ColonCancer,M,ageClass8,yll,109.2291736
ColonCancer,F,ageClass1,daly,0
ColonCancer,F,ageClass1,deaths,0
ColonCancer,F,ageClass1,yld,0
ColonCancer,F,ageClass1,yll,0
ColonCancer,F,ageClass2,daly,0
ColonCancer,F,ageClass2,deaths,0
ColonCancer,F,ageClass2,yld,0
ColonCancer,F,ageClass2,yll,0
ColonCancer,F,ageClass3,daly,0.599602759
ColonCancer,F,ageClass3,deaths,0
ColonCancer,F,ageClass3,yld,0.599602759
ColonCancer,F,ageClass3,yll,0
ColonCancer,F,ageClass4,daly,149.3011936
ColonCancer,F,ageClass4,deaths,3.204950708
ColonCancer,F,ageClass4,yld,7.270391221
ColonCancer,F,ageClass4,yll,142.0308024
ColonCancer,F,ageClass5,daly,364.4117621
ColonCancer,F,ageClass5,deaths,11.34786309
ColonCancer,F,ageClass5,yld,18.39926772
ColonCancer,F,ageClass5,yll,346.0124944
ColonCancer,F,ageClass6,daly,339.567117
ColonCancer,F,ageClass6,deaths,15.52392965
ColonCancer,F,ageClass6,yld,21.75195169
ColonCancer,F,ageClass6,yll,317.8151653
ColonCancer,F,ageClass7,daly,239.3509507
ColonCancer,F,ageClass7,deaths,17.94720002
ColonCancer,F,ageClass7,yld,21.33250551
ColonCancer,F,ageClass7,yll,218.0184452
ColonCancer,F,ageClass8,daly,230.9602629
ColonCancer,F,ageClass8,deaths,37.1437482
ColonCancer,F,ageClass8,yld,30.46628244
ColonCancer,F,ageClass8,yll,200.4939805
CVD,M,ageClass1,daly,31.40305939
CVD,M,ageClass1,deaths,0.375911049
CVD,M,ageClass1,yld,1.35430897
CVD,M,ageClass1,yll,30.04875042
CVD,M,ageClass2,daly,18.13244269
CVD,M,ageClass2,deaths,0.186351462
CVD,M,ageClass2,yld,5.559639033
CVD,M,ageClass2,yll,12.57280366
CVD,M,ageClass3,daly,240.7104529
CVD,M,ageClass3,deaths,3.468415577
CVD,M,ageClass3,yld,50.33885735
CVD,M,ageClass3,yll,190.3715956
CVD,M,ageClass4,daly,716.7777279
CVD,M,ageClass4,deaths,15.39339342
CVD,M,ageClass4,yld,77.60032529
CVD,M,ageClass4,yll,639.1774027
CVD,M,ageClass5,daly,3278.555738
CVD,M,ageClass5,deaths,110.5390887
CVD,M,ageClass5,yld,268.26081
CVD,M,ageClass5,yll,3010.294928
CVD,M,ageClass6,daly,3115.044546
CVD,M,ageClass6,deaths,160.5646366
CVD,M,ageClass6,yld,312.4191319
CVD,M,ageClass6,yll,2802.625414
CVD,M,ageClass7,daly,1789.605649
CVD,M,ageClass7,deaths,155.1176049
CVD,M,ageClass7,yld,201.3624165
CVD,M,ageClass7,yll,1588.243232
CVD,M,ageClass8,daly,1641.294295
CVD,M,ageClass8,deaths,317.5663687
CVD,M,ageClass8,yld,164.4812235
CVD,M,ageClass8,yll,1476.813072
CVD,F,ageClass1,daly,15.70505254
CVD,F,ageClass1,deaths,0.188312324
CVD,F,ageClass1,yld,0.586585887
CVD,F,ageClass1,yll,15.11846665
CVD,F,ageClass2,daly,29.60118506
CVD,F,ageClass2,deaths,0.372038186
CVD,F,ageClass2,yld,2.43784744
CVD,F,ageClass2,yll,27.16333762
CVD,F,ageClass3,daly,63.70790205
CVD,F,ageClass3,deaths,0.577247335
CVD,F,ageClass3,yld,29.72073348
CVD,F,ageClass3,yll,33.98716858
CVD,F,ageClass4,daly,383.9130768
CVD,F,ageClass4,deaths,5.827183105
CVD,F,ageClass4,yld,130.9097738
CVD,F,ageClass4,yll,253.0033031
CVD,F,ageClass5,daly,952.1553943
CVD,F,ageClass5,deaths,27.09666025
CVD,F,ageClass5,yld,141.7216519
CVD,F,ageClass5,yll,810.4337424
CVD,F,ageClass6,daly,1196.447985
CVD,F,ageClass6,deaths,51.10600603
CVD,F,ageClass6,yld,172.2826323
CVD,F,ageClass6,yll,1024.165352
CVD,F,ageClass7,daly,1076.709489
CVD,F,ageClass7,deaths,78.31869652
CVD,F,ageClass7,yld,124.9905274
CVD,F,ageClass7,yll,951.7189612
CVD,F,ageClass8,daly,1858.348842
CVD,F,ageClass8,deaths,349.5438093
CVD,F,ageClass8,yld,142.2717395
CVD,F,ageClass8,yll,1716.077103
Dementia,M,ageClass1,daly,0
Dementia,M,ageClass1,deaths,0
Dementia,M,ageClass1,yld,0
Dementia,M,ageClass1,yll,0
Dementia,M,ageClass2,daly,13.62243833
Dementia,M,ageClass2,deaths,0.186351462
Dementia,M,ageClass2,yld,0
Dementia,M,ageClass2,yll,13.62243833
Dementia,M,ageClass3,daly,10.21283021
Dementia,M,ageClass3,deaths,0.192689754
Dementia,M,ageClass3,yld,0
Dementia,M,ageClass3,yll,10.21283021
Dementia,M,ageClass4,daly,19.35111655
Dementia,M,ageClass4,deaths,0.366509367
Dementia,M,ageClass4,yld,1.769940014
Dementia,M,ageClass4,yll,17.58117653
Dementia,M,ageClass5,daly,216.169604
Dementia,M,ageClass5,deaths,3.97362737
Dementia,M,ageClass5,yld,117.7292831
Dementia,M,ageClass5,yll,98.44032098
Dementia,M,ageClass6,daly,607.2552679
Dementia,M,ageClass6,deaths,18.13750354
Dementia,M,ageClass6,yld,302.8788362
Dementia,M,ageClass6,yll,304.3764317
Dementia,M,ageClass7,daly,1279.118486
Dementia,M,ageClass7,deaths,74.3439298
Dementia,M,ageClass7,yld,550.7300595
Dementia,M,ageClass7,yll,728.388426
Dementia,M,ageClass8,daly,3000.991143
Dementia,M,ageClass8,deaths,339.8017158
Dementia,M,ageClass8,yld,1502.215922
Dementia,M,ageClass8,yll,1498.775221
Dementia,F,ageClass1,daly,0
Dementia,F,ageClass1,deaths,0
Dementia,F,ageClass1,yld,0
Dementia,F,ageClass1,yll,0
Dementia,F,ageClass2,daly,0
Dementia,F,ageClass2,deaths,0
Dementia,F,ageClass2,yld,0
Dementia,F,ageClass2,yll,0
Dementia,F,ageClass3,daly,0
Dementia,F,ageClass3,deaths,0
Dementia,F,ageClass3,yld,0
Dementia,F,ageClass3,yll,0
Dementia,F,ageClass4,daly,10.37906654
Dementia,F,ageClass4,deaths,0.182099472
Dementia,F,ageClass4,yld,2.017750767
Dementia,F,ageClass4,yll,8.361315777
Dementia,F,ageClass5,daly,247.3646306
Dementia,F,ageClass5,deaths,3.091565264
Dementia,F,ageClass5,yld,158.2549247
Dementia,F,ageClass5,yll,89.10970592
Dementia,F,ageClass6,daly,780.063268
Dementia,F,ageClass6,deaths,18.06001717
Dementia,F,ageClass6,yld,428.0630817
Dementia,F,ageClass6,yll,352.0001864
Dementia,F,ageClass7,daly,1863.880731
Dementia,F,ageClass7,deaths,90.53721439
Dementia,F,ageClass7,yld,809.99219
Dementia,F,ageClass7,yll,1053.888541
Dementia,F,ageClass8,daly,6752.692003
Dementia,F,ageClass8,deaths,802.3276097
Dementia,F,ageClass8,yld,2918.947822
Dementia,F,ageClass8,yll,3833.744182
Depression,M,ageClass1,daly,0.260084497
Depression,M,ageClass1,deaths,0
Depression,M,ageClass1,yld,0.260084497
Depression,M,ageClass1,yll,0
Depression,M,ageClass2,daly,419.4360401
Depression,M,ageClass2,deaths,0
Depression,M,ageClass2,yld,419.4360401
Depression,M,ageClass2,yll,0
Depression,M,ageClass3,daly,1277.20447
Depression,M,ageClass3,deaths,0
Depression,M,ageClass3,yld,1277.20447
Depression,M,ageClass3,yll,0
Depression,M,ageClass4,daly,1702.126731
Depression,M,ageClass4,deaths,0
Depression,M,ageClass4,yld,1702.126731
Depression,M,ageClass4,yll,0
Depression,M,ageClass5,daly,1472.580542
Depression,M,ageClass5,deaths,0.361238852
Depression,M,ageClass5,yld,1463.932605
Depression,M,ageClass5,yll,8.647936737
Depression,M,ageClass6,daly,632.3955193
Depression,M,ageClass6,deaths,0.19092109
Depression,M,ageClass6,yld,629.4559439
Depression,M,ageClass6,yll,2.939575364
Depression,M,ageClass7,daly,254.5732109
Depression,M,ageClass7,deaths,1.0046477
Depression,M,ageClass7,yld,245.0963032
Depression,M,ageClass7,yll,9.476907659
Depression,M,ageClass8,daly,142.9661856
Depression,M,ageClass8,deaths,0.570137107
Depression,M,ageClass8,yld,139.8057917
Depression,M,ageClass8,yll,3.160393895
Depression,F,ageClass1,daly,0.43026073
Depression,F,ageClass1,deaths,0
Depression,F,ageClass1,yld,0.43026073
Depression,F,ageClass1,yll,0
Depression,F,ageClass2,daly,672.2518526
Depression,F,ageClass2,deaths,0
Depression,F,ageClass2,yld,672.2518526
Depression,F,ageClass2,yll,0
Depression,F,ageClass3,daly,2086.458244
Depression,F,ageClass3,deaths,0
Depression,F,ageClass3,yld,2086.458244
Depression,F,ageClass3,yll,0
Depression,F,ageClass4,daly,2740.1841
Depression,F,ageClass4,deaths,0
Depression,F,ageClass4,yld,2740.1841
Depression,F,ageClass4,yll,0
Depression,F,ageClass5,daly,2533.758749
Depression,F,ageClass5,deaths,0.36371356
Depression,F,ageClass5,yld,2523.117297
Depression,F,ageClass5,yll,10.64145133
Depression,F,ageClass6,daly,1187.728062
Depression,F,ageClass6,deaths,0.384255684
Depression,F,ageClass6,yld,1180.734117
Depression,F,ageClass6,yll,6.993945304
Depression,F,ageClass7,daly,529.2197165
Depression,F,ageClass7,deaths,0.801214287
Depression,F,ageClass7,yld,519.3324277
Depression,F,ageClass7,yll,9.887288759
Depression,F,ageClass8,daly,438.7210072
Depression,F,ageClass8,deaths,3.397294042
Depression,F,ageClass8,yld,422.4235082
Depression,F,ageClass8,yll,16.29749898
Diabetes,M,ageClass1,daly,13.65792983
Diabetes,M,ageClass1,deaths,0
Diabetes,M,ageClass1,yld,13.65792983
Diabetes,M,ageClass1,yll,0
Diabetes,M,ageClass2,daly,30.87544009
Diabetes,M,ageClass2,deaths,0
Diabetes,M,ageClass2,yld,30.87544009
Diabetes,M,ageClass2,yll,0
Diabetes,M,ageClass3,daly,140.9814735
Diabetes,M,ageClass3,deaths,0.770759017
Diabetes,M,ageClass3,yld,96.42975516
Diabetes,M,ageClass3,yll,44.55171832
Diabetes,M,ageClass4,daly,738.6804004
Diabetes,M,ageClass4,deaths,6.413913926
Diabetes,M,ageClass4,yld,468.8933438
Diabetes,M,ageClass4,yll,269.7870567
Diabetes,M,ageClass5,daly,1815.245593
Diabetes,M,ageClass5,deaths,32.51149667
Diabetes,M,ageClass5,yld,927.0003103
Diabetes,M,ageClass5,yll,888.2452826
Diabetes,M,ageClass6,daly,1616.468968
Diabetes,M,ageClass6,deaths,50.21224663
Diabetes,M,ageClass6,yld,742.10866
Diabetes,M,ageClass6,yll,874.3603083
Diabetes,M,ageClass7,daly,949.0597924
Diabetes,M,ageClass7,deaths,50.03145546
Diabetes,M,ageClass7,yld,429.4186146
Diabetes,M,ageClass7,yll,519.6411778
Diabetes,M,ageClass8,daly,513.2976559
Diabetes,M,ageClass8,deaths,59.48430484
Diabetes,M,ageClass8,yld,226.9520633
Diabetes,M,ageClass8,yll,286.3455926
Diabetes,F,ageClass1,daly,11.39835474
Diabetes,F,ageClass1,deaths,0
Diabetes,F,ageClass1,yld,11.39835474
Diabetes,F,ageClass1,yll,0
Diabetes,F,ageClass2,daly,28.25782393
Diabetes,F,ageClass2,deaths,0
Diabetes,F,ageClass2,yld,28.25782393
Diabetes,F,ageClass2,yll,0
Diabetes,F,ageClass3,daly,167.2568378
Diabetes,F,ageClass3,deaths,1.346910448
Diabetes,F,ageClass3,yld,90.33832261
Diabetes,F,ageClass3,yll,76.91851522
Diabetes,F,ageClass4,daly,648.2746681
Diabetes,F,ageClass4,deaths,5.827183105
Diabetes,F,ageClass4,yld,395.2117748
Diabetes,F,ageClass4,yll,253.0628933
Diabetes,F,ageClass5,daly,1307.892432
Diabetes,F,ageClass5,deaths,19.09496192
Diabetes,F,ageClass5,yld,726.2000975
Diabetes,F,ageClass5,yll,581.6923347
Diabetes,F,ageClass6,daly,1011.178143
Diabetes,F,ageClass6,deaths,26.12938654
Diabetes,F,ageClass6,yld,486.525553
Diabetes,F,ageClass6,yll,524.6525902
Diabetes,F,ageClass7,daly,909.1049612
Diabetes,F,ageClass7,deaths,40.46132148
Diabetes,F,ageClass7,yld,418.4389364
Diabetes,F,ageClass7,yll,490.6660248
Diabetes,F,ageClass8,daly,678.0571348
Diabetes,F,ageClass8,deaths,73.9855147
Diabetes,F,ageClass8,yld,294.8357232
Diabetes,F,ageClass8,yll,383.2214116
