severity,victimRoadType,victim,strikingRoadType,striking,value
fatal,local,walk,local,walk,0
fatal,local,bike,local,walk,0
fatal,local,bus,local,walk,0
fatal,local,car,local,walk,0
fatal,local,truck,local,walk,0
fatal,local,motorcycle,local,walk,0
fatal,arterial,walk,arterial,walk,0
fatal,arterial,bike,arterial,walk,0
fatal,arterial,bus,arterial,walk,0
fatal,arterial,car,arterial,walk,0
fatal,arterial,truck,arterial,walk,0
fatal,arterial,motorcycle,arterial,walk,0
fatal,highway,walk,highway,walk,0
fatal,highway,bike,highway,walk,0
fatal,highway,bus,highway,walk,0
fatal,highway,car,highway,walk,0
fatal,highway,truck,highway,walk,0
fatal,highway,motorcycle,highway,walk,0
serious,local,walk,local,walk,0.95
serious,local,bike,local,walk,0
serious,local,bus,local,walk,0
serious,local,car,local,walk,0
serious,local,truck,local,walk,0
serious,local,motorcycle,local,walk,0
serious,arterial,walk,arterial,walk,0
serious,arterial,bike,arterial,walk,0
serious,arterial,bus,arterial,walk,0
serious,arterial,car,arterial,walk,0
serious,arterial,truck,arterial,walk,0
serious,arterial,motorcycle,arterial,walk,0
serious,highway,walk,highway,walk,0
serious,highway,bike,highway,walk,0
serious,highway,bus,highway,walk,0
serious,highway,car,highway,walk,0
serious,highway,truck,highway,walk,0
serious,highway,motorcycle,highway,walk,0
fatal,local,walk,local,bike,0
fatal,local,bike,local,bike,0.26
fatal,local,bus,local,bike,0
fatal,local,car,local,bike,0
fatal,local,truck,local,bike,0
fatal,local,motorcycle,local,bike,0
fatal,arterial,walk,arterial,bike,0
fatal,arterial,bike,arterial,bike,0
fatal,arterial,bus,arterial,bike,0
fatal,arterial,car,arterial,bike,0
fatal,arterial,truck,arterial,bike,0
fatal,arterial,motorcycle,arterial,bike,0
fatal,highway,walk,highway,bike,0
fatal,highway,bike,highway,bike,0
fatal,highway,bus,highway,bike,0
fatal,highway,car,highway,bike,0
fatal,highway,truck,highway,bike,0
fatal,highway,motorcycle,highway,bike,0
serious,local,walk,local,bike,3.81
serious,local,bike,local,bike,8.01
serious,local,bus,local,bike,0
serious,local,car,local,bike,0
serious,local,truck,local,bike,0
serious,local,motorcycle,local,bike,0
serious,arterial,walk,arterial,bike,0
serious,arterial,bike,arterial,bike,0.33
serious,arterial,bus,arterial,bike,0
serious,arterial,car,arterial,bike,0
serious,arterial,truck,arterial,bike,0
serious,arterial,motorcycle,arterial,bike,0
serious,highway,walk,highway,bike,0
serious,highway,bike,highway,bike,0
serious,highway,bus,highway,bike,0
serious,highway,car,highway,bike,0
serious,highway,truck,highway,bike,0
serious,highway,motorcycle,highway,bike,0
fatal,local,walk,local,bus,4.67
fatal,local,bike,local,bus,1.04
fatal,local,bus,local,bus,0
fatal,local,car,local,bus,1.38
fatal,local,truck,local,bus,0
fatal,local,motorcycle,local,bus,0.23
fatal,arterial,walk,arterial,bus,0
fatal,arterial,bike,arterial,bus,0
fatal,arterial,bus,arterial,bus,0
fatal,arterial,car,arterial,bus,0
fatal,arterial,truck,arterial,bus,0
fatal,arterial,motorcycle,arterial,bus,0
fatal,highway,walk,highway,bus,0
fatal,highway,bike,highway,bus,0
fatal,highway,bus,highway,bus,0
fatal,highway,car,highway,bus,0
fatal,highway,truck,highway,bus,0
fatal,highway,motorcycle,highway,bus,0
serious,local,walk,local,bus,9.21
serious,local,bike,local,bus,2.49
serious,local,bus,local,bus,2.12
serious,local,car,local,bus,5.93
serious,local,truck,local,bus,0
serious,local,motorcycle,local,bus,1.18
serious,arterial,walk,arterial,bus,0
serious,arterial,bike,arterial,bus,0.33
serious,arterial,bus,arterial,bus,0.22
serious,arterial,car,arterial,bus,0
serious,arterial,truck,arterial,bus,0
serious,arterial,motorcycle,arterial,bus,0
serious,highway,walk,highway,bus,0
serious,highway,bike,highway,bus,0
serious,highway,bus,highway,bus,0
serious,highway,car,highway,bus,1.59
serious,highway,truck,highway,bus,0
serious,highway,motorcycle,highway,bus,0.23
fatal,local,walk,local,car,83.22
fatal,local,bike,local,car,11.93
fatal,local,bus,local,car,0
fatal,local,car,local,car,67.52
fatal,local,truck,local,car,0
fatal,local,motorcycle,local,car,27.16
fatal,arterial,walk,arterial,car,4.81
fatal,arterial,bike,arterial,car,0.22
fatal,arterial,bus,arterial,car,0
fatal,arterial,car,arterial,car,6.82
fatal,arterial,truck,arterial,car,0
fatal,arterial,motorcycle,arterial,car,1.4
fatal,highway,walk,highway,car,7.25
fatal,highway,bike,highway,car,0.22
fatal,highway,bus,highway,car,0
fatal,highway,car,highway,car,12.25
fatal,highway,truck,highway,car,0
fatal,highway,motorcycle,highway,car,3.26
serious,local,walk,local,car,321.25
serious,local,bike,local,car,133.93
serious,local,bus,local,car,0
serious,local,car,local,car,333.26
serious,local,truck,local,car,0
serious,local,motorcycle,local,car,151.27
serious,arterial,walk,arterial,car,5.31
serious,arterial,bike,arterial,car,2.28
serious,arterial,bus,arterial,car,0
serious,arterial,car,arterial,car,36.14
serious,arterial,truck,arterial,car,0
serious,arterial,motorcycle,arterial,car,11.2
serious,highway,walk,highway,car,6.76
serious,highway,bike,highway,car,1.1
serious,highway,bus,highway,car,0
serious,highway,car,highway,car,52
serious,highway,truck,highway,car,0
serious,highway,motorcycle,highway,car,19.23
fatal,local,walk,local,truck,5.26
fatal,local,bike,local,truck,1.81
fatal,local,bus,local,truck,0.23
fatal,local,car,local,truck,12.44
fatal,local,truck,local,truck,0.68
fatal,local,motorcycle,local,truck,3.2
fatal,arterial,walk,arterial,truck,0.25
fatal,arterial,bike,arterial,truck,0.22
fatal,arterial,bus,arterial,truck,0
fatal,arterial,car,arterial,truck,1.98
fatal,arterial,truck,arterial,truck,0
fatal,arterial,motorcycle,arterial,truck,0.47
fatal,highway,walk,highway,truck,1.16
fatal,highway,bike,highway,truck,0.22
fatal,highway,bus,highway,truck,0
fatal,highway,car,highway,truck,5.34
fatal,highway,truck,highway,truck,0.53
fatal,highway,motorcycle,highway,truck,1.86
serious,local,walk,local,truck,6.03
serious,local,bike,local,truck,4.69
serious,local,bus,local,truck,0
serious,local,car,local,truck,28.25
serious,local,truck,local,truck,7.71
serious,local,motorcycle,local,truck,5.2
serious,arterial,walk,arterial,truck,0.29
serious,arterial,bike,arterial,truck,0
serious,arterial,bus,arterial,truck,0
serious,arterial,car,arterial,truck,5.87
serious,arterial,truck,arterial,truck,1.57
serious,arterial,motorcycle,arterial,truck,1.12
serious,highway,walk,highway,truck,0.72
serious,highway,bike,highway,truck,0
serious,highway,bus,highway,truck,0
serious,highway,car,highway,truck,10.9
serious,highway,truck,highway,truck,1.54
serious,highway,motorcycle,highway,truck,0.9
fatal,local,walk,local,motorcycle,0.58
fatal,local,bike,local,motorcycle,0
fatal,local,bus,local,motorcycle,0
fatal,local,car,local,motorcycle,0
fatal,local,truck,local,motorcycle,0
fatal,local,motorcycle,local,motorcycle,1.6
fatal,arterial,walk,arterial,motorcycle,0
fatal,arterial,bike,arterial,motorcycle,0
fatal,arterial,bus,arterial,motorcycle,0
fatal,arterial,car,arterial,motorcycle,0
fatal,arterial,truck,arterial,motorcycle,0
fatal,arterial,motorcycle,arterial,motorcycle,0
fatal,highway,walk,highway,motorcycle,0
fatal,highway,bike,highway,motorcycle,0
fatal,highway,bus,highway,motorcycle,0
fatal,highway,car,highway,motorcycle,0
fatal,highway,truck,highway,motorcycle,0
fatal,highway,motorcycle,highway,motorcycle,0
serious,local,walk,local,motorcycle,6.03
serious,local,bike,local,motorcycle,1.38
serious,local,bus,local,motorcycle,0
serious,local,car,local,motorcycle,0
serious,local,truck,local,motorcycle,0
serious,local,motorcycle,local,motorcycle,0
serious,arterial,walk,arterial,motorcycle,0
serious,arterial,bike,arterial,motorcycle,0
serious,arterial,bus,arterial,motorcycle,0
serious,arterial,car,arterial,motorcycle,0
serious,arterial,truck,arterial,motorcycle,0
serious,arterial,motorcycle,arterial,motorcycle,0.45
serious,highway,walk,highway,motorcycle,0
serious,highway,bike,highway,motorcycle,0
serious,highway,bus,highway,motorcycle,0
serious,highway,car,highway,motorcycle,0
serious,highway,truck,highway,motorcycle,0
serious,highway,motorcycle,highway,motorcycle,0.45
